GRMZM2G031545	GRMZM2G080549	GRMZM2G080567	GRMZM2G089736	GRMZM2G094765	GRMZM2G111224	GRMZM2G114461	GRMZM2G127031	GRMZM2G127035	GRMZM2G326788	GRMZM2G377502	GRMZM5G898768
10343927_LMAD26_B73_CGCGGA	1202.06332	0	111.22294	81.2783	0	49.19476	2.1389	6.41671	0	0	0	25.66683
10343927_LMAD26_B73_GATCAC	1024.43032	1.01429	41.58579	90.27158	0	47.67151	3.04286	3.04286	1.01429	0	0	19.27146
10343927_LMAD26_B73_TATGTC	1125.91766	2.43048	150.68947	97.21901	0	58.93902	0	10.32952	1.21524	0	0	27.95047
10343927_LMAD26_B73_TTCCGC	1004.20611	1.12896	81.28481	98.78363	0	50.23853	2.25791	5.64478	2.25791	0	0	18.62777
10343927_LMAN8_B73_AGGCAT	1177.57733	0	52.59083	86.8892	0	16.00591	0	4.57312	0	0	0	45.73116
10343927_LMAN8_B73_CACACT	1190.95922	1.08763	59.81987	146.83059	0	31.54139	2.17527	2.17527	1.08763	0	0	20.66505
10343927_LMAN8_B73_GCGCTG	1464.32851	0	39.17312	80.21163	0	26.11541	1.86539	22.38464	0	0	0	39.17312
10344827_LMAN26_B73_CCTGCT	996.50612	0	158.86329	154.04926	0	59.37315	1.60468	25.67488	3.20936	0	0	19.25616
10344827_LMAN26_B73_GAACCT	994.60302	0	174.67938	114.07633	0	51.69084	1.78244	17.82443	1.78244	0	0	19.60687
10344827_LMAN26_B73_GCAGCC	1228.43847	0	137.07897	117.74732	0	34.26974	1.75742	15.8168	0.87871	0	0	14.93809
10343262_LMAN8_B73Htrhm_AATCCG	1017.86034	1.3219	34.36931	89.88896	0	13.21897	1.3219	11.89707	0	0	0	23.79414
10343262_LMAN8_B75_CACTAA	1120.66154	0	0	86.92112	0	24.8346	3.10433	12.4173	1.55216	0	0	31.04326
10344823_LMAD8_B76_ACCGTG	956.32983	0.81045	52.67919	159.65845	0	42.14335	0	9.72539	0	0	0	8.91494
10344826_LMAN8_B76_AGATAG	1175.46636	0	58.77332	189.09676	0	11.49913	2.55536	6.3884	0	0	0	6.3884
10343264_LMAN26_B77_GTAGAA	1410.12114	0	98.84027	24.71007	0	22.23906	1.64734	4.94201	0.82367	0	0	19.76805
10343927_LMAD26_B77_TAATCG	1045.37899	2.15542	116.39271	62.5072	0	47.41925	2.15542	4.31084	2.15542	0	0	28.02047
10343262_LMAN8_B79_GCAGCC	1332.08926	0	30.2985	76.26864	0	22.98507	3.13433	4.1791	0	0	0	22.98507
10343264_LMAN26_B84_GTGCCA	1620.31101	2.23081	93.69398	130.87413	0	29.74412	2.23081	9.66684	0.7436	0	0	24.5389
10343927_LMAD26_B84_GCAGCC	969.58249	0	52.37357	71.17434	0	41.63027	5.37165	4.02874	0	0	0	13.42912
10343262_LMAN8_C103_CGATCT	907.06593	1.55586	26.44961	152.4742	0	14.00273	6.22344	1.55586	0	0	0	32.67304
10344823_LMAD8_C123_GCTCGA	852.77217	0	26.62044	208.37382	0	59.66651	1.83589	3.67179	0	0	0	23.86661
10344826_LMAN8_C123_GACATC	1090.28568	2.52381	37.85714	106	0	20.19048	0	7.57143	0	0	0	40.38095
10344823_LMAD8_C49A_AATGAA	1064.35475	3.40049	30.0377	71.97713	0	50.44067	1.70025	0.56675	2.83375	0	0	6.23424
10344826_LMAN8_C49A_GGTATA	945.24519	2.50396	46.32327	68.85892	0	36.30743	6.2599	3.75594	1.25198	0	0	5.00792
10343262_LMAN8_CH701-30_GAACCT	1019.15616	0	23.85984	201.10439	0	30.67694	0	3.40855	0	0	0	23.85984
10344823_LMAD8_CH701-30_ATGAAC	921.37127	3.7607	36.35342	223.13481	0	72.70685	1.25357	13.78923	0	0	0	42.62126
10343262_LMAN8_CH9_CGCGGA	948.49862	0	87.3145	177.02118	0	50.23574	3.58827	3.58827	0	0	0	15.54916
10343927_LMAN8_CI187-2_GACGAT	1558.7112	0	41.10643	16.66477	0	22.21969	2.22197	8.88788	0	0	0	17.77575
10343264_LMAN26_CI21E_ATGAAC	2094.02715	1.05919	45.54536	164.17512	0	28.59825	2.11839	0	0	0	0	51.90052
10343927_LMAD26_CI21E_AAGTGG	1321.55159	2.39846	100.73533	117.52455	0	57.56305	1.19923	0	0	0	0	28.78152
10343927_LMAD26_CI28A_TCGAGG	1063.61369	0.60193	55.37774	107.74581	0	37.31978	6.62125	7.82511	0.60193	0	0	16.85409
10344827_LMAN26_CI28A_AAGCTC	1300.33852	2.272	49.22656	128.74639	0	24.99195	3.02933	10.60264	2.272	0	0	28.02127
10343927_LMAD26_CI31A_GTGTAG	982.22597	1.00845	28.23648	108.91212	0	65.54896	1.00845	0	0	0	0	26.21958
10344827_LMAN26_CI31A_CACACT	1316.45768	1.17962	75.49578	125.03989	0	14.15546	1.17962	1.17962	1.17962	0	0	20.05357
10343262_LMAN8_CI3A_TTAACT	1023.6745	0.66907	56.87081	143.84968	0	14.05043	0.66907	14.05043	0	0	0	24.08646
10343264_LMAN26_CI64_ATATCC	1598.35185	0.72918	53.95896	178.6479	0	29.89618	4.37505	0	0.72918	0	0	25.52113
10343927_LMAD26_CI64_TTCGAG	1119.58743	2.50467	93.50767	153.61975	0	50.0934	5.84423	0	1.66978	0	0	14.19313
10343264_LMAD26_CI66_CAGATG	1242.91863	1.67171	57.6741	191.41114	0	55.16653	0	0	0	0	0	17.55299
10344827_LMAN26_CI66_GTGTAG	1118.79308	0	64.94313	178.59362	0	26.56765	0.49199	5.41193	0.49199	0	0	21.64771
10344823_LMAD8_CM105_ACCAGT	918.46549	1.99884	46.97266	119.93021	0	41.97557	0.99942	6.99593	0	0	0	19.98837
10344826_LMAN8_CM105_GATTGT	1510.0797	0	41.37205	109.34041	0	33.49166	6.89534	2.95515	0.98505	0	0	18.71593
10344823_LMAD8_CM37_TACCTT	923.76877	2.5495	63.7375	96.03116	0	47.59066	0.84983	1.69967	0.84983	0	0	37.39266
10344826_LMAN8_CM37_TGCACG	1496.16768	0	106.12047	94.32931	0	30.13297	0	0	3.93039	0	0	35.37349
10344823_LMAD8_CM7_CCTAAG	913.11113	1.07615	81.78721	128.06155	0	48.96471	1.61422	2.15229	2.15229	0	0	29.59406
10344826_LMAN8_CM7_TTAACT	1640.50663	3.67827	57.62617	107.8958	0	33.10439	1.22609	4.90435	0	0	0	23.29568
10343264_LMAN26_CML10_AGACCA	1092.27349	0.56594	60.5561	140.35431	0	9.62106	1.69783	1.13189	0.56594	0	0	40.18208
10343927_LMAD26_CML10_GGAGGT	1316.54179	0	67.62112	262.20434	0	22.08037	0	4.14007	1.38002	0	0	27.60046
10343927_LMAD26_CML108_ATATCC	953.44006	0	38.81031	115.13727	0	37.51664	0	11.64309	0	0	0	23.28619
10344827_LMAN26_CML108_CCGACC	1138.82574	5.89302	45.67089	143.64232	0	28.72846	3.68314	16.94243	0	0	0	33.14823
10343264_LMAD26_CML11_CCGACC	943.59978	0	75.00793	201.02126	0	22.50238	3.00032	0	0	0	0	36.75389
10344827_LMAN26_CML11_TCGAGG	1184.43567	0	37.66757	125.55855	0	20.08937	1.67411	1.67411	0	0	0	46.87519
10343927_LMAD26_CML154Q_ACAGAT	972.18482	0	51.41362	183.45315	0	50.24513	2.33698	5.84246	2.33698	0	0	21.03284
10344827_LMAN26_CML154Q_AACGCC	1096.33671	0	77.1163	255.76906	0	24.42016	0	3.85581	1.28527	0	0	15.42326
10343264_LMAD26_CML157Q_CAACAG	836.72691	0	78.58761	78.58761	0	32.3596	0	6.16373	0	0	0	21.57307
10344827_LMAN26_CML157Q_TGACAC	1248.65042	0.68948	104.80114	222.70242	0	35.16354	2.75792	2.75792	0	0	0	39.98991
10343264_LMAD26_CML158Q_TGCTAT	1011.03839	0	59.47285	91.91258	0	27.03311	5.40662	0	5.40662	0	0	16.21987
10344827_LMAN26_CML158Q_ATAAGA	891.78973	0.88824	108.36489	104.81194	0	15.10003	3.55295	1.77647	2.66471	0	0	31.97652
10343264_LMAD26_CML218_CGCGGA	1076.71922	0	137.21807	113.97953	0	54.22327	1.1066	0	1.1066	0	0	18.81215
10344827_LMAN26_CML218_TCAGGA	1126.21065	3.33692	141.81912	127.91528	0	31.14459	4.44923	0	2.78077	0	0	22.24614
10343264_LMAD26_CML220_GTTACC	1399.53926	1.2065	107.37844	91.69395	0	56.70547	1.2065	0	1.2065	0	0	26.54299
10344827_LMAN26_CML220_GGTATA	1420.3241	1.18311	108.25461	160.31147	0	25.43687	2.36622	0	0	0	0	18.33821
10343264_LMAD26_CML228_CCGCAA	1207.0562	0	35.50165	195.91653	0	44.70579	2.62975	0	5.2595	0	0	1.31488
KAKRNA14_LMAN26_CML228_ACATTA	1837.23612	0	41.82578	140.96837	0	13.94193	3.09821	6.19641	4.64731	0	0	9.29462
10343264_LMAD26_CML238_CCAATT	943.50319	1.25133	62.56652	56.30987	0	26.27794	3.75399	5.00532	0	0	0	36.28858
10344827_LMAN26_CML238_TAGGCT	1055.11471	1.29383	53.69376	89.27396	0	6.46913	3.23456	6.46913	0	0	0	47.87154
10343264_LMAD26_CML261_TATGTC	801.7123	0	96.5537	85.47377	0	29.28268	0.79142	0	0	0	0	26.11699
KAKRNA14_LMAN26_CML261_GAACCT	1125.95014	2.30727	140.74377	166.12379	0	16.15092	0	0	4.61455	0	0	20.76547
10343264_LMAD26_CML277_AATAGC	921.02181	2.61654	67.37589	96.81195	0	42.51876	0	7.84962	3.27067	0	0	20.27818
10344827_LMAN26_CML277_GCATGG	1190.7075	2.09878	29.38291	116.13246	0	34.28006	2.09878	16.09064	2.09878	0	0	20.2882
10343264_LMAD26_CML314_TACCTT	849.04906	2.66997	92.11381	98.12124	0	34.04206	2.66997	8.0099	2.66997	0	0	25.36467
10344827_LMAN26_CML314_GACATC	1155.82828	4.40945	81.57491	143.30727	0	24.252	0.55118	11.02364	1.10236	0	0	29.21264
10343264_LMAD26_CML322_GAAGTG	873.85837	1.65191	39.64575	140.41203	0	79.2915	3.30381	0	1.65191	0	0	4.95572
10344827_LMAN26_CML322_TTCGAG	820.01586	3.20632	20.03949	133.86378	0	41.68214	0.80158	4.0079	0	0	0	10.42053
10343264_LMAD26_CML323_GCAGCC	1497.21962	1.1009	41.83408	26.42152	0	49.54036	0	13.21076	3.30269	0	0	39.63228
10344827_LMAN26_CML323_GTGCCA	1219.52691	0.64017	35.84961	16.00429	0	55.69493	5.12137	18.56498	2.56069	0	0	43.53167
10343927_LMAN8_CML328_TTGGTA	1166.01691	1.24442	27.37713	139.37449	0	16.1774	0	1.24442	0	0	0	28.62155
10343264_LMAD26_CML331_TGCACG	786.55694	0	63.68547	61.20422	0	59.55005	3.30834	2.48125	0	0	0	24.81252
KAKRNA14_LMAN26_CML331_ACAACG	1327.23213	0	45.94945	153.75392	0	19.44015	1.76729	1.76729	0	0	0	14.13829
10343264_LMAD26_CML333_TGGATT	673.77831	0	128.94723	141.72578	0	25.55711	0	3.48506	6.97012	0	0	49.95253
10344827_LMAN26_CML333_ACCAGT	1112.54942	0	181.80049	173.97176	0	21.74647	0.86986	7.82873	0	0	0	48.71209
10343264_LMAD26_CML341_CTAGTC	704.06813	1.27896	81.85352	100.39845	0	61.39014	1.91844	8.31325	2.55792	0	0	24.30026
KAKRNA14_LMAN26_CML341_AGTTGA	1510.41129	0	40.11717	148.43351	0	18.05272	2.00586	22.06444	0	0	0	26.07616
10343264_LMAD26_CML38_CAGGAC	1365.63165	0	172.57982	107.54975	0	42.51967	1.25058	1.25058	0	0	0	7.50347
10344827_LMAN26_CML38_GCTCGA	1044.97724	1.71448	143.15931	133.72966	0	19.71655	0.85724	1.71448	0	0	0	8.57241
10343264_LMAD26_CML69_GACGAT	873.31759	5.26095	84.17519	103.46534	0	47.34854	0	10.5219	1.75365	0	0	35.073
10344827_LMAN26_CML69_TTAACT	1021.98651	2.17753	31.93708	118.31236	0	17.42022	6.53258	32.66292	2.90337	0	0	58.06742
10343264_LMAN26_CML77_GCATGG	1490.50337	0.67383	48.51548	138.80818	0	24.93157	5.39061	0.67383	0.67383	0	0	28.97452
10343927_LMAD26_CML77_AATAGC	984.91017	1.09556	39.44023	134.75412	0	72.30709	0	2.19112	1.09556	0	0	36.15354
10343264_LMAD26_CML91_AACGCC	1073.62877	0	80.40392	170.26712	0	52.02606	0	0	0	0	0	9.45928
10344827_LMAN26_CML91_AATCCG	1080.11259	2.83494	131.82476	184.27118	0	26.93194	5.66988	1.41747	0	0	0	28.34941
10344827_LMAN26_CML92_CGCGGA	1184.5512	0.8659	33.7701	76.1992	0	20.7816	1.7318	6.0613	0	0	0	13.8544
10344823_LMAD8_CMV3_CGTCGC	862.9361	4.70521	125.15867	272.90237	0	43.28796	0.94104	0	1.88209	0	0	19.7619
10344826_LMAN8_CMV3_ACCAGT	1195.06966	3.48925	103.80532	197.14288	0	30.53098	1.74463	0.87231	2.61694	0	0	23.55247
10344823_LMAD8_CO106_TGCACG	1274.32397	1.0252	70.73882	36.90721	0	38.95761	1.0252	3.0756	0	0	0	22.55441
10344826_LMAN8_CO106_TGACAC	1626.43239	0	40.89316	24.16414	0	33.45804	3.71756	0	0	0	0	20.44658
10344823_LMAD8_CO125_CTCCAT	688.61805	0	13.87912	180.42861	0	48.04312	2.13525	6.40575	0	0	0	13.87912
10344826_LMAN8_CO125_TGTGCA	805.83086	0	39.38271	131.78061	0	39.38271	1.51472	4.54416	0	0	0	19.69136
10344823_LMAD8_CO255_AATAGC	1169.61921	2.04479	32.71662	179.94142	0	26.58225	5.11197	3.06718	0	0	0	33.73902
10344826_LMAN8_CO255_CTCATA	1294.42449	0	43.84341	135.70579	0	17.74614	1.04389	7.30724	0	0	0	49.06286
10343264_LMAN26_CI7_GACATC	269.89928	0	0	122.68149	0	24.5363	0	0	0	0	0	24.5363
10343927_LMAD26_CI7_TACCTT	749.6583	0.70193	44.92334	185.30879	0	37.90407	3.50964	1.40385	2.10578	0	0	16.84625
10343927_LMAD26_CI90C_GCCACA	985.21933	1.03381	98.21179	155.07125	0	48.58899	5.16904	2.06762	12.4057	0	0	11.37189
10344827_LMAN26_CI90C_CATCTA	1237.66624	2.82143	92.16663	139.19043	0	26.33332	1.88095	0	3.7619	0	0	11.28571
10343927_LMAD26_CI91B_AGATAG	2174.16171	3.40778	63.04387	28.9661	0	30.66999	0	0	1.70389	0	0	23.85444
10344827_LMAN26_CI91B_CACTAA	2070.14154	2.70784	49.41803	29.10925	0	14.21615	2.03088	6.09263	0	0	0	30.46317
10343264_LMAD26_D940Y_GATCAC	1326.92232	3.23114	32.31142	89.39493	0	30.15733	0	0	0	0	0	6.46228
10344827_LMAN26_D940Y_ACTCTT	1414.54689	3.42609	27.83698	102.35444	0	9.42175	4.28261	0.85652	0.42826	0	0	4.71087
10343262_LMAN8_DE1_GAGTCC	1503.47649	0	47.79263	177.231	0	47.79263	0	0	0	0	0	13.93952
10343264_LMAN26_DE811_TCGAGG	1362.93716	0	54.17079	148.42797	0	43.33663	1.08342	5.41708	1.08342	0	0	31.41906
10343927_LMAD26_DE811_CCGACC	982.21019	0	44.56152	135.54129	0	22.28076	2.7851	11.14038	0	0	0	13.92548
10343927_LMAN8_E2558W_GAACCT	1256.7504	0	20.31385	132.71718	0	16.25108	0	1.35426	0	0	0	20.31385
10344826_LMAD8_E2558W_CGCAAC	1210.94017	4.63075	72.93426	96.08799	1.15769	53.25358	8.10381	0	0	0	0	13.89224
10344823_LMAD8_EP1_CTCATA	1111.48278	0.81368	28.4787	167.61746	0	32.54708	0	4.88206	0	0	0	30.10605
10344826_LMAN8_EP1_AATCCG	1544.8147	0	54.41617	123.94795	0	18.13872	3.02312	9.06936	0	0	0	57.43929
10343262_LMAN8_F2834T_ACGTCT	1681.64733	0.83044	58.13102	20.76108	0	12.45665	4.15222	2.49133	1.66089	0	0	37.36994
10344826_LMAD8_F2834T_CAAGCA	1502.67924	0	105.25095	16.48509	0	41.84676	3.80425	11.41275	2.53617	0	0	21.55742
10343264_LMAD26_F6_GCGAAT	870.46304	1.4867	63.92811	60.95471	0	48.31776	1.4867	2.23005	6.69015	0	0	20.8138
10344827_LMAN26_F6_TGTGCA	1023.27628	1.6064	65.3269	33.19892	0	16.59946	1.6064	8.032	3.74826	0	0	46.58558
10344823_LMAD8_F7_TTCGAG	822.71675	5.52159	51.90294	182.21243	0	30.9209	1.10432	4.41727	0	0	0	34.23385
10344826_LMAN8_F7_GGCTGC	1013.09025	1.1712	39.82089	153.42754	0	14.05443	5.85601	5.85601	0	0	0	42.16329
10343264_LMAD26_GA209_CATCTA	684.63667	2.47161	130.99546	33.36677	0	39.5458	0	1.23581	0	0	0	33.36677
10344827_LMAN26_GA209_ATACTG	770.58765	2.48577	121.80256	66.28711	0	14.08601	4.14294	0	0	0	0	41.42944
10343264_LMAD26_GT112_CAGCGT	1109.85397	1.08809	68.5498	51.14033	0	35.90704	1.08809	7.61664	2.17618	0	0	25.02612
10344827_LMAN26_GT112_GATTGT	1152.36503	2.09014	67.58126	36.22913	0	36.22913	2.09014	4.18028	2.09014	0	0	37.62256
10343262_LMAN8_H105W_AGAATC	1306.68301	1.57242	20.44149	78.62112	0	42.4554	1.57242	3.14484	0	0	0	20.44149
10343262_LMAN8_H49_GCGAAT	1014.62853	0	50.41632	56.71836	0	42.0136	0	16.80544	0	0	0	29.40952
10343262_LMAN8_H84_GGAGGT	1041.92913	0	48.34551	168.37575	0	23.33921	5.00126	1.66709	0	0	0	3.33417
10343262_LMAN8_H91_ATGAAC	1139.72333	0.78602	11.00423	111.61429	0	34.58471	0.78602	8.64618	0	0	0	25.93853
10344826_LMAD8_H91_GATCAC	1156.67798	0	22.19046	131.75589	0	31.89879	0	4.16071	0	0	0	16.64285
10343262_LMAN8_H95_CTAGTC	1340.46349	1.15259	28.81478	17.28887	0	49.56142	1.15259	3.45777	1.15259	0	0	11.52591
10344823_LMAD8_H99_GTAGAA	805.84398	0.85094	43.39814	169.33786	0	43.39814	1.70189	4.25472	0	0	0	11.91322
10344826_LMAN8_H99_GCTCGA	1272.05763	0	64.75406	192.82321	0	27.34061	2.87796	5.75592	0	0	0	5.75592
10343262_LMAN8_HP301_ACACGC	906.79569	0	14.81438	119.2947	0	18.71289	3.11882	0.7797	0	0	0	35.86638
10344826_LMAD8_HP301_ACCTAC	818.26095	1.53808	106.12783	129.1991	0	59.98529	0	0	0	0	0	26.14744
